year,place
2025,National University of Singapore
2025,"Chulalongkorn University, Bangkok, Thailand"
2025,University of Hong Kong
2024,"University of Copenhagen, Denmark"
2024,"Universita degli Studi di Padova, Italy"
2024,"University of Milano-Bicocca, Italy"
2024,"Kyoto University, Japan"
2024,Paris Brain Institute
2024,"Center for Brain Health, University of Texas Dallas"
2024,University of California at Berkeley
2024,"Washington University, St. Louis*"
2024,Univerity of Alabama at Birmingham*
2023,University College London
2023,Oxford Big Data Institute
2023,University of Tubingen*
2022,University of Michigan*
2022,Brigham and Womens Hospital*
2022,University of Alabama at Birmingham*
2022,Tehran University of Medical Sciences*
2021,University of Zurich*
2021,Purdue University*
2021,University of Florida*
2021,King's College London*
2021,University of Texas Rio Grande Valley*
2021,SUNY Binghamton*
2021,University of Connecticut*
2020,"University of Colorado, Boulder*"
2020,"University of Virginia, Biomedical Data Science Program*"
2020,Florida International University*
2020,"University Medical Center, Hamburg, Germany*"
2020,"Max Planck Institute for Human Cognitive and Brain Sciences, Leipzig, Germany*"
2020, UC Davis*
2019, UCLA
2019, IMT Lucca (Italy)
2019, Tel Aviv University
2019, Ecole Normale Superieure (Paris)*
2019, Johns Hopkins University (Biostatistics)*
2019,  NIMH Machine Learning Group*
2019, Johns Hopkins University (ECE)* 
2018, Penn State University
2018, Icahn School of Medicine at Mt. Sinai
2018, University of Wisconsin
2018, University of Miami. 
2017, Caltech
2017, University of Pennsylvania
2017, University of Maryland
2017, Ghent University
2017, Harvard University
2017," National University, Singapore "
2016," Wellcome Trust Center for Neuroscience, University College, London"
2016," MRC Cognition and Brain Unit, Cambridge"
2016, Duke University
2016, Dartmouth University
2016, Rutgers-Newark 
2015, Tel Aviv University
2015," University Medical Center, Utrecht, Netherlands"
2015, Montreal Neurological Institute
2015, Cornell University 
2014," Laureate Insitute, Tulsa, OK"
2014, Yale University
2014, Michigan State University 
2013, Columbia University
2013, UT San Antonio
2013," Rotman Research Institute, Toronto"
2013, University of Michigan
2013, UCLA
2013, NIMH
2013, NIDA
2013, Carnegie-Mellon University
2013, University of Oregon
2013, Mt. Sinai School of Medicine
2013," Washington University, St. Louis"
2012, University of Texas at Dallas
2012, Ohio State University
2012, Stanford University
2012, Tokyo Institute of Technology
2011, University College London
2011, Cambridge University
2011, Oxford University
2011, Georgia Tech University
2011, University of Georgia
2011, Brown University
2011, Humboldt University (Berlin)
2011, National Taiwan University (Taipei).
2010, Beijing Normal University
2010," Duke-NUS School of Medicine, Singapore"
2010, Princeton University
2010, UC Davis
2010, University of Maryland
2010, Auburn University
2010, Texas A\&M University 
2009, University of Pennsylvania
2009, UC San Diego
2009, University of Texas at Austin
2009, Baylor College of Medicine
2008, University of Vermont
2008, SUNY Stony Brook
2008, Vanderbilt University
2008, University of Illinois at Chicago
2008, University of Texas at Austin
2008, University of Missouri-Columbia
2008, Washington University-St. Louis
2008, Cal Tech
2008," Neurospin (Orsay, France)"
2008, Oxford University
2008, University College London
2007, Duke University
2007, New York University
2007, University of Texas
2007, MIT
2007, University College London
2006, Salk  Institute
2006, Johns Hopkins University
2006," Ben Gurion University (Beer Sheva, Israel)"
2005, University of Arizona
2005, Medical College of Wisconsin
2005," Washington University-St. Louis, Karolinska Institute, Lund University (Sweden), Danish Technical University"
2004," Rotman Research Institute, University of Toronto"
2004," University of California, San Diego"
2004," University of Colorado, Boulder"
2004, Colorado State University
2004, University of Illinois at Urbana-Champaign
2003," NIMH, Clinical Brain Disorders Branch"
2003," Max Planck Institute for Cognitive Neuroscience, Leipzig, Germany"
2003," University of California at Irvine, Center for Neurobiology of Learning and Memory,"
2002," Learning and the Brain conference, Cambridge, MA"
2002," Los Alamos National Laboratory, Center for Nonlinear Studies"
2001," Institute for Cognitive Neuroscience, London"
2001,"  Wellcome Department of Cognitive Neurology, London"
2000, University of Connecticut
2000, MIT
2000, Boston University
2000, Boston VA Medical Center
1999," Center for Psychological Studies, Berkeley, CA "
1999, Harvard University
1997, University of California at Berkeley 
1996, University of California at Santa Cruz 
1994, Rice University 